sampled_medoids	sampled_rap	sampled_nonrap	rap_fraction	multi_families	pure_rap_families	mixed_families	pure_nonrap_families	medoids_in_multi	within_family_pairs	rap_rap_pairs	rap_nonrap_pairs	nonrap_nonrap_pairs	expected_rap_rap_pairs_random	rap_rap_enrichment	rap_neighbor_homophily	homophily_lift_over_pool	target_rap_size	replicate	seed	alpha	threshold
655	100	555	0.15267175572519084	136	15	4	117	319	244	19	8	217	5.6390503536662235	3.3693616492796816	0.8260869565217391	5.410869565217391	100	97	20260905	0.1	0.8
655	100	555	0.15267175572519084	133	10	5	118	311	237	11	9	217	5.477274318929897	2.0082981715893107	0.7096774193548387	4.648387096774194	100	98	20260905	0.1	0.8
655	100	555	0.15267175572519084	134	11	6	117	313	235	13	12	210	5.431052594719518	2.3936428110896197	0.6842105263157895	4.481578947368421	100	99	20260905	0.1	0.8
655	100	555	0.15267175572519084	133	8	7	118	313	243	14	13	216	5.615939491561034	2.4929043521636114	0.6829268292682927	4.4731707317073175	100	100	20260905	0.1	0.8
755	200	555	0.26490066225165565	156	32	9	115	363	271	41	21	209	18.94672123948214	2.1639628029446127	0.7961165048543689	3.0053398058252423	200	1	20260905	0.1	0.8
755	200	555	0.26490066225165565	159	33	11	115	370	277	42	23	212	19.36620584257031	2.16872630299512	0.7850467289719626	2.9635514018691587	200	2	20260905	0.1	0.8
755	200	555	0.26490066225165565	161	37	8	116	372	276	49	12	215	19.296291742055615	2.5393480081567255	0.8909090909090909	3.363181818181818	200	3	20260905	0.1	0.8
755	200	555	0.26490066225165565	159	38	8	113	368	276	42	13	221	19.296291742055615	2.176584006991479	0.865979381443299	3.2690721649484535	200	4	20260905	0.1	0.8
755	200	555	0.26490066225165565	156	30	9	117	360	263	38	11	214	18.387408435364588	2.066631637273822	0.8735632183908046	3.2977011494252872	200	5	20260905	0.1	0.8
755	200	555	0.26490066225165565	158	36	5	117	364	266	40	8	218	18.59715073690867	2.1508671175426004	0.9090909090909091	3.4318181818181817	200	6	20260905	0.1	0.8
755	200	555	0.26490066225165565	159	33	12	114	368	268	41	22	205	18.73697893793806	2.1881862671566794	0.7884615384615384	2.976442307692307	200	7	20260905	0.1	0.8
755	200	555	0.26490066225165565	161	36	8	117	371	270	46	14	210	18.876807138967447	2.4368527824306723	0.8679245283018868	3.2764150943396224	200	8	20260905	0.1	0.8
755	200	555	0.26490066225165565	154	28	8	118	357	265	44	11	210	18.527236636393976	2.3748819569545847	0.8888888888888888	3.355555555555555	200	9	20260905	0.1	0.8
755	200	555	0.26490066225165565	166	43	10	113	381	276	48	16	212	19.296291742055615	2.4875245794188334	0.8571428571428571	3.2357142857142853	200	10	20260905	0.1	0.8
755	200	555	0.26490066225165565	155	33	4	118	360	271	43	10	218	18.94672123948214	2.269521964063862	0.8958333333333334	3.3817708333333334	200	11	20260905	0.1	0.8
755	200	555	0.26490066225165565	163	38	7	118	374	269	47	12	210	18.806893038452753	2.4990837085053523	0.8867924528301887	3.347641509433962	200	12	20260905	0.1	0.8
755	200	555	0.26490066225165565	154	30	9	115	357	265	35	13	217	18.527236636393976	1.8891106475775103	0.8433734939759037	3.183734939759036	200	13	20260905	0.1	0.8
755	200	555	0.26490066225165565	158	34	9	115	365	267	38	17	212	18.667064837423364	2.0356708636817045	0.8172043010752689	3.08494623655914	200	14	20260905	0.1	0.8
755	200	555	0.26490066225165565	154	30	9	115	356	263	35	19	209	18.387408435364588	1.9034765080153622	0.7865168539325843	2.9691011235955056	200	15	20260905	0.1	0.8
755	200	555	0.26490066225165565	156	34	8	114	363	273	44	12	217	19.08654944051153	2.305288346494377	0.88	3.3219999999999996	200	16	20260905	0.1	0.8
755	200	555	0.26490066225165565	159	37	8	114	369	278	47	10	221	19.436119943085004	2.418178120819927	0.9038461538461539	3.4120192307692307	200	17	20260905	0.1	0.8
755	200	555	0.26490066225165565	153	30	8	115	359	273	43	14	216	19.08654944051153	2.252895429528596	0.86	3.2464999999999997	200	18	20260905	0.1	0.8
755	200	555	0.26490066225165565	158	32	10	116	365	267	41	16	210	18.667064837423364	2.196381721340787	0.8367346938775511	3.158673469387755	200	19	20260905	0.1	0.8
755	200	555	0.26490066225165565	159	37	8	114	371	282	50	13	219	19.71577634514378	2.5360401297266475	0.8849557522123894	3.3407079646017697	200	20	20260905	0.1	0.8
755	200	555	0.26490066225165565	152	29	7	116	360	281	49	15	217	19.645862244629086	2.4941638798977093	0.8672566371681416	3.273893805309734	200	21	20260905	0.1	0.8
755	200	555	0.26490066225165565	162	34	12	116	370	265	40	19	206	18.527236636393976	2.1589835972314404	0.8080808080808081	3.05050505050505	200	22	20260905	0.1	0.8
